start_station_name,end_station_name,total_trips,start_lat,start_lon,end_lat,end_lon
1 Ave & E 68 St,2 Ave & E 72 St,1126,40.764888167,-73.958232999,40.7687620293096,-73.95840793848038
1 Ave & E 68 St,3 Ave & E 62 St,1594,40.764888167,-73.958232999,40.76312584,-73.96526895
1 Ave & E 68 St,E 33 St & 1 Ave,931,40.764888167,-73.958232999,40.74322681432173,-73.97449783980846
1 Ave & E 68 St,E 39 St & 2 Ave,813,40.764888167,-73.958232999,40.74803319428767,-73.973827958107
1 Ave & E 68 St,E 44 St & Lexington Ave,1662,40.764888167,-73.958232999,40.752643,-73.974996
1 Ave & E 68 St,E 47 St & Park Ave,1155,40.764888167,-73.958232999,40.75510267,-73.97498696
1 Ave & E 68 St,E 51 St & 2 Ave,916,40.764888167,-73.958232999,40.755293,-73.967641
1 Ave & E 68 St,E 55 St & 2 Ave,1761,40.764888167,-73.958232999,40.75797322,-73.96603308
1 Ave & E 68 St,E 63 St & 3 Ave,1723,40.764888167,-73.958232999,40.763954,-73.9646
1 Ave & E 68 St,E 65 St & 2 Ave,1475,40.764888167,-73.958232999,40.76471851944339,-73.96222069859505
1 Ave & E 68 St,E 68 St & 3 Ave,2598,40.764888167,-73.958232999,40.76712840349542,-73.96224617958069
1 Ave & E 68 St,E 72 St & York Ave,852,40.764888167,-73.958232999,40.76663814,-73.95348296
1 Ave & E 68 St,E 74 St & 1 Ave,996,40.764888167,-73.958232999,40.7689738,-73.95482273
1 Ave & E 68 St,E 84 St & 1 Ave,1896,40.764888167,-73.958232999,40.77565541,-73.95068615
1 Ave & E 68 St,E 85 St & 3 Ave,1700,40.764888167,-73.958232999,40.77801203,-73.95407149
1 Ave & E 68 St,E 88 St & 1 Ave,2196,40.764888167,-73.958232999,40.778301,-73.9488134
1 Ave & E 68 St,E 89 St & York Ave,772,40.764888167,-73.958232999,40.7779453,-73.946041
1 Ave & E 68 St,E 91 St & 2 Ave,855,40.764888167,-73.958232999,40.78115276427916,-73.94963040947914
1 Ave & E 68 St,Queens Plaza North & Crescent St,849,40.764888167,-73.958232999,40.75110165,-73.94073717
1 Ave & E 78 St,1 Ave & E 62 St,1348,40.77140426,-73.9535166,40.7612274,-73.96094022
1 Ave & E 78 St,1 Ave & E 68 St,1060,40.77140426,-73.9535166,40.76500525,-73.95818491
1 Ave & E 78 St,1 Ave & E 78 St,1837,40.77140426,-73.9535166,40.77140426,-73.9535166
1 Ave & E 78 St,2 Ave & E 72 St,3690,40.77140426,-73.9535166,40.7687620293096,-73.95840793848038
1 Ave & E 78 St,5 Ave & E 72 St,767,40.77140426,-73.9535166,40.77282817,-73.96685276
1 Ave & E 78 St,5 Ave & E 78 St,1011,40.77140426,-73.9535166,40.776321,-73.964274
1 Ave & E 78 St,E 55 St & 2 Ave,801,40.77140426,-73.9535166,40.75797322,-73.96603308
1 Ave & E 78 St,E 72 St & York Ave,930,40.77140426,-73.9535166,40.76663814,-73.95348296
1 Ave & E 78 St,E 76 St & Park Ave,796,40.77140426,-73.9535166,40.773763,-73.96222088
1 Ave & E 78 St,E 77 St & 3 Ave,3705,40.77140426,-73.9535166,40.77314236,-73.95856158
1 Ave & E 78 St,E 84 St & 1 Ave,1734,40.77140426,-73.9535166,40.77565541,-73.95068615
1 Ave & E 78 St,E 85 St & 3 Ave,2445,40.77140426,-73.9535166,40.77801203,-73.95407149
1 Ave & E 78 St,E 88 St & 1 Ave,1590,40.77140426,-73.9535166,40.778301,-73.9488134
1 Ave & E 78 St,E 89 St & York Ave,982,40.77140426,-73.9535166,40.7779453,-73.946041
1 Ave & E 78 St,E 91 St & 2 Ave,1026,40.77140426,-73.9535166,40.78115276427916,-73.94963040947914
1 Pl & Clinton St,Clinton St & Joralemon St,791,40.6809591,-73.99905709,40.69239502,-73.99337909
1 St & 6 Ave,7 Ave & Park Pl,931,40.672784,-73.979826,40.6776147,-73.97324283
10 Ave & W 14 St,10 Ave & W 14 St,2715,40.74198159994023,-74.00831580162048,40.74198159994023,-74.00831580162048
10 Ave & W 14 St,11 Ave & W 41 St,779,40.74198159994023,-74.00831580162048,40.76030096,-73.99884222
10 Ave & W 14 St,12 Ave & W 40 St,1813,40.74198159994023,-74.00831580162048,40.76087502,-74.00277668
10 Ave & W 14 St,Little West St & 1 Pl,1231,40.74198159994023,-74.00831580162048,40.70569254,-74.01677685
10 Ave & W 14 St,North Moore St & Greenwich St,784,40.74198159994023,-74.00831580162048,40.72019521437465,-74.0103006362915
10 Ave & W 14 St,Pier 40 - Hudson River Park,1051,40.74198159994023,-74.00831580162048,40.7277140777778,-74.01129573583603
10 Ave & W 14 St,Riverside Blvd & W 67 St,885,40.74198159994023,-74.00831580162048,40.777507027547976,-73.98888587951659
10 Ave & W 14 St,Vesey Pl & River Terrace,957,40.74198159994023,-74.00831580162048,40.7153379,-74.01658354
10 Ave & W 14 St,W 30 St & 10 Ave,1233,40.74198159994023,-74.00831580162048,40.752694,-74.002353
10 Ave & W 14 St,W 34 St & 11 Ave,957,40.74198159994023,-74.00831580162048,40.75594159,-74.0021163
10 Ave & W 14 St,West St & Chambers St,3593,40.74198159994023,-74.00831580162048,40.71754834,-74.01322069
10 Ave & W 14 St,West St & Liberty St,2575,40.74198159994023,-74.00831580162048,40.711444,-74.014847
10 Ave & W 28 St,10 Ave & W 28 St,1532,40.75066386,-74.00176802,40.75066386,-74.00176802
10 Ave & W 28 St,6 Ave & W 33 St,961,40.75066386,-74.00176802,40.74901271,-73.98848395
10 Ave & W 28 St,8 Ave & W 16 St,936,40.75066386,-74.00176802,40.740983,-74.001702
10 Ave & W 28 St,8 Ave & W 31 St,1282,40.75066386,-74.00176802,40.7505853470215,-73.9946848154068
10 Ave & W 28 St,8 Ave & W 33 St,945,40.75066386,-74.00176802,40.751551,-73.993934
10 Ave & W 28 St,9 Ave & W 18 St,1062,40.75066386,-74.00176802,40.74317449,-74.00366443
10 Ave & W 28 St,9 Ave & W 22 St,1347,40.75066386,-74.00176802,40.7454973,-74.00197139
10 Ave & W 28 St,Broadway & W 25 St,775,40.75066386,-74.00176802,40.74286877312112,-73.98918628692627
10 Ave & W 28 St,W 20 St & 7 Ave,1487,40.75066386,-74.00176802,40.74238787,-73.99726235
10 Ave & W 28 St,W 20 St & 8 Ave,969,40.75066386,-74.00176802,40.74345335,-74.00004031
10 Ave & W 28 St,W 21 St & 6 Ave,1170,40.75066386,-74.00176802,40.74173969,-73.99415556
10 Ave & W 28 St,W 22 St & 8 Ave,1063,40.75066386,-74.00176802,40.74475148,-73.99915362
10 Ave & W 28 St,W 24 St & 7 Ave,1083,40.75066386,-74.00176802,40.74487634,-73.99529885
10 Ave & W 28 St,W 25 St & 6 Ave,877,40.75066386,-74.00176802,40.74395411,-73.99144871
10 Ave & W 28 St,W 26 St & 8 Ave,3252,40.75066386,-74.00176802,40.74734825,-73.99723551
10 Ave & W 28 St,W 27 St & 7 Ave,1313,40.75066386,-74.00176802,40.746647,-73.993915
10 Ave & W 28 St,W 29 St & 9 Ave,905,40.75066386,-74.00176802,40.7500727,-73.99839279
11 Ave & W 27 St,10 Ave & W 28 St,788,40.751396,-74.005226,40.75066386,-74.00176802
11 Ave & W 27 St,11 Ave & W 27 St,1477,40.751396,-74.005226,40.751396,-74.005226
11 Ave & W 27 St,12 Ave & W 40 St,755,40.751396,-74.005226,40.76087502,-74.00277668
11 Ave & W 27 St,8 Ave & W 31 St,963,40.751396,-74.005226,40.7505853470215,-73.9946848154068
11 Ave & W 27 St,W 26 St & 10 Ave,1124,40.751396,-74.005226,40.749717753,-74.002950346
11 Ave & W 27 St,W 26 St & 8 Ave,2632,40.751396,-74.005226,40.74734825,-73.99723551
11 Ave & W 27 St,West St & Chambers St,1341,40.751396,-74.005226,40.71754834,-74.01322069
11 Ave & W 27 St,West St & Liberty St,871,40.751396,-74.005226,40.711444,-74.014847
11 Ave & W 41 St,11 Ave & W 27 St,1384,40.76030096,-73.99884222,40.751396,-74.005226
11 Ave & W 41 St,11 Ave & W 41 St,2213,40.76030096,-73.99884222,40.76030096,-73.99884222
11 Ave & W 41 St,12 Ave & W 40 St,1177,40.76030096,-73.99884222,40.76087502,-74.00277668
11 Ave & W 41 St,6 Ave & W 34 St,1037,40.76030096,-73.99884222,40.74964,-73.98805
11 Ave & W 41 St,8 Ave & W 33 St,3164,40.76030096,-73.99884222,40.751551,-73.993934
11 Ave & W 41 St,8 Ave & W 38 St,959,40.76030096,-73.99884222,40.75461,-73.99177
11 Ave & W 41 St,Broadway & W 41 St,1453,40.76030096,-73.99884222,40.75513557,-73.98658032
11 Ave & W 41 St,Hudson Blvd E & W 36 St,836,40.76030096,-73.99884222,40.75630628938069,-73.99951145061095
11 Ave & W 41 St,W 30 St & 10 Ave,1276,40.76030096,-73.99884222,40.752694,-74.002353
11 Ave & W 41 St,W 34 St & 11 Ave,3314,40.76030096,-73.99884222,40.75594159,-74.0021163
11 Ave & W 41 St,W 34 St &\tHudson Blvd E,2079,40.76030096,-73.99884222,40.75516719072139,-74.00059908628464
11 Ave & W 41 St,W 36 St & 9 Ave,896,40.76030096,-73.99884222,40.75462324029105,-73.99516761302948
11 Ave & W 41 St,W 37 St & 10 Ave,858,40.76030096,-73.99884222,40.75660359,-73.9979009
11 Ave & W 41 St,W 42 St & 6 Ave,1537,40.76030096,-73.99884222,40.75492,-73.98455
11 Ave & W 41 St,W 42 St & 8 Ave,2859,40.76030096,-73.99884222,40.7575699,-73.99098507
11 Ave & W 41 St,W 42 St & Dyer Ave,836,40.76030096,-73.99884222,40.75898481399634,-73.99379968643188
11 Ave & W 41 St,W 43 St & 10 Ave,766,40.76030096,-73.99884222,40.76009437,-73.99461843
11 Ave & W 41 St,W 44 St & 11 Ave,2209,40.76030096,-73.99884222,40.762009,-73.996975
11 Ave & W 41 St,W 50 St & 10 Ave,761,40.76030096,-73.99884222,40.76473420006519,-73.99194359779358
11 Ave & W 41 St,W 54 St & 11 Ave,962,40.76030096,-73.99884222,40.768333,-73.992573
11 Ave & W 41 St,West St & Chambers St,998,40.76030096,-73.99884222,40.71754834,-74.01322069
11 Ave & W 59 St,11 Ave & W 59 St,1236,40.77149671054441,-73.99046033620834,40.77149671054441,-73.99046033620834
11 Ave & W 59 St,12 Ave & W 40 St,896,40.77149671054441,-73.99046033620834,40.76087502,-74.00277668
11 Ave & W 59 St,Broadway & W 58 St,1297,40.77149671054441,-73.99046033620834,40.76695317,-73.98169333
11 Ave & W 59 St,W 34 St & 11 Ave,836,40.77149671054441,-73.99046033620834,40.75594159,-74.0021163
11 Ave & W 59 St,W 54 St & 11 Ave,1209,40.77149671054441,-73.99046033620834,40.768333,-73.992573
11 Ave & W 59 St,W 59 St & 10 Ave,2456,40.77149671054441,-73.99046033620834,40.770513,-73.988038
11 Ave & W 59 St,W 70 St & Amsterdam Ave,1041,40.77149671054441,-73.99046033620834,40.77748046,-73.98288594
12 Ave & W 125 St,12 Ave & W 125 St,2027,40.818299,-73.960405,40.818299,-73.960405
12 Ave & W 125 St,12 Ave & W 40 St,820,40.818299,-73.960405,40.76087502,-74.00277668
12 Ave & W 40 St,10 Ave & W 14 St,3510,40.76087502,-74.00277668,40.74198159994023,-74.00831580162048
12 Ave & W 40 St,11 Ave & W 27 St,986,40.76087502,-74.00277668,40.751396,-74.005226
12 Ave & W 40 St,11 Ave & W 41 St,757,40.76087502,-74.00277668,40.76030096,-73.99884222
12 Ave & W 40 St,11 Ave & W 59 St,845,40.76087502,-74.00277668,40.77149671054441,-73.99046033620834
12 Ave & W 40 St,12 Ave & W 125 St,764,40.76087502,-74.00277668,40.818299,-73.960405
12 Ave & W 40 St,12 Ave & W 40 St,5371,40.76087502,-74.00277668,40.76087502,-74.00277668
12 Ave & W 40 St,Little West St & 1 Pl,1095,40.76087502,-74.00277668,40.70569254,-74.01677685
12 Ave & W 40 St,Pier 40 - Hudson River Park,2640,40.76087502,-74.00277668,40.7277140777778,-74.01129573583603
12 Ave & W 40 St,Riverside Blvd & W 67 St,1619,40.76087502,-74.00277668,40.777507027547976,-73.98888587951659
12 Ave & W 40 St,Riverside Dr & W 72 St,1099,40.76087502,-74.00277668,40.78057799010334,-73.98562431335449
12 Ave & W 40 St,W 15 St & 10 Ave,906,40.76087502,-74.00277668,40.74275382865903,-74.00747358798981
12 Ave & W 40 St,W 16 St & The High Line,1466,40.76087502,-74.00277668,40.74334935,-74.00681753
12 Ave & W 40 St,W 20 St & 10 Ave,816,40.76087502,-74.00277668,40.745686,-74.005141
12 Ave & W 40 St,W 22 St & 10 Ave,915,40.76087502,-74.00277668,40.74691959,-74.00451887
12 Ave & W 40 St,W 30 St & 10 Ave,891,40.76087502,-74.00277668,40.752694,-74.002353
12 Ave & W 40 St,W 34 St & 11 Ave,1142,40.76087502,-74.00277668,40.75594159,-74.0021163
12 Ave & W 40 St,W 44 St & 11 Ave,914,40.76087502,-74.00277668,40.762009,-73.996975
12 Ave & W 40 St,W 54 St & 11 Ave,1141,40.76087502,-74.00277668,40.768333,-73.992573
12 Ave & W 40 St,Washington St & Gansevoort St,942,40.76087502,-74.00277668,40.739323,-74.008119
12 Ave & W 40 St,West St & Chambers St,3857,40.76087502,-74.00277668,40.71754834,-74.01322069
12 Ave & W 40 St,West St & Liberty St,1742,40.76087502,-74.00277668,40.711444,-74.014847
14 St & 7 Ave,10 St & 7 Ave,752,40.663779,-73.98396846,40.6662078,-73.98199886
18 St & 27 Ave,31 St & Newtown Ave,1322,40.772768286288304,-73.92743647098541,40.7675487799971,-73.9209334552288
2 Ave & E 104 St,2 Ave & E 96 St,1833,40.7892105,-73.94370784,40.7839636,-73.9471673
2 Ave & E 104 St,2 Ave & E 99 St,789,40.7892105,-73.94370784,40.7862586,-73.94552579
2 Ave & E 104 St,E 93 St & 2 Ave,759,40.7892105,-73.94370784,40.782454175279874,-73.9489196240902
2 Ave & E 29 St,2 Ave & E 29 St,904,40.741738319,-73.978045344,40.74172351097472,-73.97809267044067
2 Ave & E 29 St,6 Ave & W 33 St,876,40.741738319,-73.978045344,40.74901271,-73.98848395
2 Ave & E 29 St,Broadway & W 29 St,979,40.741738319,-73.978045344,40.7462009,-73.98855723
2 Ave & E 29 St,E 13 St & 2 Ave,1498,40.741738319,-73.978045344,40.73153937464073,-73.9853024482727
2 Ave & E 29 St,E 20 St & 2 Ave,1167,40.741738319,-73.978045344,40.73587678,-73.98205027
2 Ave & E 29 St,E 22 St & 2 Ave,894,40.741738319,-73.978045344,40.73716919369882,-73.98122549057007
2 Ave & E 29 St,E 25 St & 2 Ave,1403,40.741738319,-73.978045344,40.73912601,-73.97973776
2 Ave & E 29 St,Lexington Ave & E 29 St,888,40.741738319,-73.978045344,40.74311555376486,-73.98215353488922
2 Ave & E 29 St,W 31 St & 7 Ave,1426,40.741738319,-73.978045344,40.749156,-73.9916
2 Ave & E 31 St,1 Ave & E 18 St,849,40.74290902,-73.97706058,40.73381219196632,-73.98054420948029
2 Ave & E 31 St,2 Ave & E 29 St,1711,40.74290902,-73.97706058,40.74172351097472,-73.97809267044067
2 Ave & E 31 St,2 Ave & E 31 St,1053,40.74290902,-73.97706058,40.74290902,-73.97706058
2 Ave & E 31 St,E 13 St & 2 Ave,1445,40.74290902,-73.97706058,40.73153937464073,-73.9853024482727
2 Ave & E 31 St,E 20 St & 2 Ave,1143,40.74290902,-73.97706058,40.73587678,-73.98205027
2 Ave & E 31 St,E 22 St & 2 Ave,884,40.74290902,-73.97706058,40.73716919369882,-73.98122549057007
2 Ave & E 31 St,E 25 St & 2 Ave,1208,40.74290902,-73.97706058,40.73912601,-73.97973776
2 Ave & E 31 St,St Marks Pl & 2 Ave,880,40.74290902,-73.97706058,40.7284186,-73.98713956
2 Ave & E 31 St,W 31 St & 7 Ave,1212,40.74290902,-73.97706058,40.749156,-73.9916
2 Ave & E 72 St,1 Ave & E 62 St,1446,40.768538237,-73.958468318,40.7612274,-73.96094022
2 Ave & E 72 St,1 Ave & E 68 St,1135,40.768538237,-73.958468318,40.76500525,-73.95818491
2 Ave & E 72 St,1 Ave & E 78 St,2206,40.768538237,-73.958468318,40.77140426,-73.9535166
2 Ave & E 72 St,2 Ave & E 72 St,1298,40.768538237,-73.958468318,40.7687620293096,-73.95840793848038
2 Ave & E 72 St,3 Ave & E 62 St,1021,40.768538237,-73.958468318,40.76312584,-73.96526895
2 Ave & E 72 St,5 Ave & E 72 St,827,40.768538237,-73.958468318,40.77282817,-73.96685276
2 Ave & E 72 St,E 51 St & 2 Ave,936,40.768538237,-73.958468318,40.755293,-73.967641
2 Ave & E 72 St,E 55 St & 2 Ave,1373,40.768538237,-73.958468318,40.75797322,-73.96603308
2 Ave & E 72 St,E 63 St & 3 Ave,874,40.768538237,-73.958468318,40.763954,-73.9646
2 Ave & E 72 St,E 72 St & York Ave,2740,40.768538237,-73.958468318,40.76663814,-73.95348296
2 Ave & E 96 St,1 Ave & E 110 St,867,40.7839636,-73.9471673,40.7923272,-73.9383
2 Ave & E 96 St,1 Ave & E 68 St,861,40.7839636,-73.9471673,40.76500525,-73.95818491
2 Ave & E 96 St,2 Ave & E 104 St,766,40.7839636,-73.9471673,40.7892105,-73.94370784
2 Ave & E 96 St,2 Ave & E 96 St,799,40.7839636,-73.9471673,40.7839636,-73.9471673
2 Ave & E 96 St,E 102 St & 1 Ave,1987,40.7839636,-73.9471673,40.7869946,-73.94164802
2 Ave & E 96 St,E 106 St & 1 Ave,812,40.7839636,-73.9471673,40.7892529,-73.93956237
2 Ave & E 96 St,E 106 St & 2 Ave,801,40.7839636,-73.9471673,40.790586067792006,-73.94195795059204
2 Ave & E 96 St,E 85 St & 3 Ave,840,40.7839636,-73.9471673,40.77801203,-73.95407149
2 Ave & E 96 St,E 91 St & 2 Ave,1084,40.7839636,-73.9471673,40.78115276427916,-73.94963040947914
2 Ave & E 96 St,E 93 St & 2 Ave,789,40.7839636,-73.9471673,40.782454175279874,-73.9489196240902
2 Ave & E 96 St,Wards Meadow Comfort Station,1201,40.7839636,-73.9471673,40.78294,-73.93077
2 Ave & E 99 St,2 Ave & E 96 St,1403,40.78640008,-73.945463419,40.7839636,-73.9471673
21 Ave & Crescent St,31 St & 23 Ave,1417,40.78040278,-73.912089467,40.7747878,-73.9125551
21 Ave & Crescent St,31 St & Ditmars Blvd,1145,40.78040278,-73.912089467,40.776168,-73.910485
